"A J Penny",,,,
"Adam Spencer Hogg",,,,
"Adrian Rogers",,,,
"Albert John Rogers",,,,
"Alison C. Micklem",,,,
"Anne Jobson",,,,
"Chris Gale",,,,
"Corrine Haynes",,,,
"Daniel Page",,,,
"David John Morrish",,,,
"David Morrish",,,,
"Dennis Brewer",,,,
"Diana Moore",,,,
"Dom Morris",,,,
"Duncan Odgers","Q76130587","2019 United Kingdom general election","Exeter","UK Independence Party"
"Ed Potts",,,,
"Ellen E Tinkham",,,,
"F Keith Taylor",,,,
"Francis Choules",,,,
"Freda Evelyn Griffith Morgan",,,,
"G. Powell",,,,
"G.W. Hobbs",,,,
"Geoffrey Dorling Roberts",,,,
"Gordon Taylor",,,,
"Graham J. Oakes",,,,
"Graham Oakes",,,,
"H. Marsh",,,,
"Hannah Foster",,,,
"J. Lloyd Jones",,,,
"James Meakin",,,,
"James Taghdissian","Q63929079","2019 European Parliament election in South West England","South West England","Conservative Party"
"James Viner Delahaye",,,,
"Joe Levy","Q75974918","2019 United Kingdom general election","Exeter","Green Party of England and Wales"
"Joel Mason",,,,
"John Gray",,,,
"John N. Lloyd",,,,
"John Stafford Cripps",,,,
"John Stuart",,,,
"John Vincent","Q63929028","2019 United Kingdom general election","Reigate","Liberal Democrats"
"Jon Underwood",,,,
"Jonathan Bishop","Q76509383","2019 United Kingdom general election","Pontypridd","independent politician"
"Jonathan West",,,,
"Keith Crawford",,,,
"Leslie Willis",,,,
"Margaret Danks",,,,
"Mark Fitzgeorge-Parker",,,,
"Michael J. Turnbull",,,,
"Nigel Byles",,,,
"Paul Edwards",,,,
"Paula Black",,,,
"Peter Cox",,,,
"Peter Frings",,,,
"Raymond Vail",,,,
"Reginald J Travess",,,,
"Richard Copus",,,,
"Richard Evans",,,,
"Robert Farmer",,,,
"Ronald Cuthbert Thompson",,,,
"Stuart Mennell",,,,
"Thomas Fairchild Day",,,,
"Tim Brenan",,,,
"Tim J.R. Brenan",,,,
"Vanessa Newcombe",,,,
